id,สถานภาพ,วิธีรับเข้า,วุฒิ,คะแนนเฉลี่ยก่อนรับเข้า,จบการศึกษาจาก,หน่วยกิตที่ลงทะเบียน,หน่วยกิตที่ผ่าน,หน่วยกิตของหลักสูตร,คะแนนเฉลี่ยสะสม,GPA 2559/1,GPA 2559/2,GPA 2560/1,GPA 2560/2,GPA 2560/3,GPA 2561/1,GPA 2561/2,GPA 2561/3,GPA 2562/1,GPA 2562/2,GPA 2562/3,GPA 2563/1,GPA 2563/2,GPA 2563/3,GPA 2564/1,GPA 2564/2,GPA 2564/3,GPA 2565/1,GPA 2565/2,GPA 2565/3,GPA 2566/1,GPA 2566/2,GPA 2567/1,GPA 2567/2,GPA 2567/3,GPA 2568/1
56,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.7,วิทยาลัยพณิชยการบางนา,137,137,137,3.15,3.13,3.25,3.2,3.22,0,3.22,3.22,0,3.22,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.24,วิทยาลัยพณิชยการบางนา,140,137,137,2.46,2.34,2.54,2.58,2.58,0,0,2.67,2.67,2.76,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,2.79,วิทยาลัยพณิชยการบางนา,137,137,137,3.08,2.58,2.78,0,0,0,2.64,2.52,2.52,2.56,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.02,วิทยาลัยเทคโนโลยีพณิชยการราชดำเนิน,143,137,137,2.45,2.97,2.91,2.86,2.59,0,2.45,2.49,2.49,2.46,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.51,วิทยาลัยอาชีวศึกษาฉะเชิงเทรา,137,137,137,3.57,2.66,2.99,3.02,3.01,0,2.96,3.06,3.06,3.13,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.17,วิทยาลัยพณิชยการเชตุพน,137,137,137,3.46,1.83,2.33,1.8,2.09,0,2.29,2.46,2.46,2.5,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,สำเร็จการศึกษา,โควตา-เครือข่าย,ปวส.,3.33,วิทยาลัยเทคโนโลยีสารสาสน์,140,137,137,2.2,2.8,2.94,2.77,2.79,0,2.84,2.87,2.87,2.95,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,โอนย้ายคณะ/สาขาวิชา/ภาค,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,ปวส.,2.6,โรงเรียนกรุงเทพการบัญชีวิทยาลัย,100,82,137,1.79,0,0,2.5,2.5,0,2.71,2.71,0,2.71,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,สำเร็จการศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,ปวส.,3.62,วิทยาลัยพณิชยการบางนา,140,137,137,2.85,0,0,1.71,1.86,0,2.31,0,0,0,2.4,0,2.58,2.58,2.58,0,2.58,0,0,0,0,0,0,0,0,0,0
65,สำเร็จการศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,ปวส.,2.51,วิทยาลัยพณิชยการเชตุพน,137,137,137,2.89,0,0,2.75,2.12,2.22,2.26,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,สำเร็จการศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,ปวส.,2.35,วิทยาลัยพณิชยการเชตุพน,137,137,137,2.69,0,0,2.17,1.97,0,2.05,2.3,2.25,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,สำเร็จการศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,ปวส.,2.73,วิทยาลัยพณิชยการเชตุพน,137,137,137,2.63,0,0,1.75,1.65,1.7,1.88,0,0,1.96,1.95,1.95,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0
